Zeta Potential,ZP distribution
-603.6381789,0
-597.2840928,0
-590.9300067,0
-584.5759206,0
-578.2218345,0
-571.8677485,0
-565.5136624,0
-559.1595763,0
-552.8054902,0
-546.4514041,0
-540.097318,0
-533.7432319,0
-527.3891458,0
-521.0350597,0
-514.6809736,0
-508.3268875,0
-501.9728014,0
-495.6187153,0
-489.2646292,0
-482.9105431,0
-476.556457,0
-470.2023709,0
-463.8482849,0
-457.4941988,0
-451.1401127,0
-444.7860266,0
-438.4319405,0
-432.0778544,0
-425.7237683,0
-419.3696822,0
-413.0155961,0
-406.66151,0
-400.3074239,0
-393.9533378,0
-387.5992517,0
-381.2451656,0
-374.8910795,0
-368.5369934,0
-362.1829074,0
-355.8288213,0
-349.4747352,0
-343.1206491,0
-336.766563,0
-330.4124769,0
-324.0583908,0
-317.7043047,0
-311.3502186,0
-304.9961325,0
-298.6420464,0
-292.2879603,0
-285.9338742,0
-279.5797881,0
-273.225702,0
-266.8716159,0
-260.5175299,0
-254.1634438,0
-247.8093577,0
-241.4552716,0
-235.1011855,0
-228.7470994,0
-222.3930133,0
-216.0389272,0
-209.6848411,0
-203.330755,0
-196.9766689,0
-190.6225828,0
-184.2684967,0
-177.9144106,0.004433459
-171.5603245,0.012168605
-165.2062384,0.022432238
-158.8521523,0.034059463
-152.4980663,0.046953145
-146.1439802,0.061804015
-139.7898941,0.080139966
-133.435808,0.103560895
-127.0817219,0.132864984
-120.7276358,0.168777406
-114.3735497,0.213500158
-108.0194636,0.270886896
-101.6653775,0.344936304
-95.31129141,0.437290344
-88.95720531,0.544186512
-82.60311922,0.655367056
-76.24903313,0.757947647
-69.89494703,0.842849542
-63.54086094,0.90759323
-57.18677485,0.953861271
-50.83268875,0.983842877
-44.47860266,0.998822506
-38.12451656,1
-31.77043047,0.989131246
-25.41634438,0.967267507
-19.06225828,0.933089557
-12.70817219,0.883046544
-6.354086094,0.813144743
0,0.721776749
6.354086094,0.613201551
12.70817219,0.498947226
19.06225828,0.392674376
25.41634438,0.303248829
31.77043047,0.232343449
38.12451656,0.177439024
44.47860266,0.135160739
50.83268875,0.102316026
57.18677485,0.075958401
63.54086094,0.053754579
69.89494703,0.034369054
76.24903313,0.01730799
82.60311922,0.005362525
88.95720531,0.001300618
95.31129141,0
101.6653775,0
108.0194636,0
114.3735497,0
120.7276358,0
127.0817219,0
133.435808,0
139.7898941,0
146.1439802,0
152.4980663,0
158.8521523,0
165.2062384,0
171.5603245,0
177.9144106,0
184.2684967,0
190.6225828,0
196.9766689,0
203.330755,0
209.6848411,0
216.0389272,0
222.3930133,0
228.7470994,0
235.1011855,0
241.4552716,0
247.8093577,0
254.1634438,0
260.5175299,0
266.8716159,0
273.225702,0
279.5797881,0
285.9338742,0
292.2879603,0
298.6420464,0
304.9961325,0
311.3502186,0
317.7043047,0
324.0583908,0
330.4124769,0
336.766563,0
343.1206491,0
349.4747352,0
355.8288213,0
362.1829074,0
368.5369934,0
374.8910795,0
381.2451656,0
387.5992517,0
393.9533378,0
400.3074239,0
406.66151,0
413.0155961,0
419.3696822,0
425.7237683,0
432.0778544,0
438.4319405,0
444.7860266,0
451.1401127,0
457.4941988,0
463.8482849,0
470.2023709,0
476.556457,0
482.9105431,0
489.2646292,0
495.6187153,0
501.9728014,0
508.3268875,0
514.6809736,0
521.0350597,0
527.3891458,0
533.7432319,0
540.097318,0
546.4514041,0
552.8054902,0
559.1595763,0
565.5136624,0
571.8677485,0
578.2218345,0
584.5759206,0
590.9300067,0
597.2840928,0
